"MuseumCode","Barcode","Collectors","AdditionalCollectors","FieldNumber","Date","CalcFullName","LocalityNotes","Latitude","Longitude","LLResolution","QDS","LLChecked","DescriptionText"
"PRE","PRE0223069-0","Acocks, JPH","","11977","10/27/1945","Senecio juniperinus L.f. var. juniperinus","PEARSTON DIV; BUFFELSHOEK PASS","-32.4818834600","25.2472000000","2k","3225AC","True",""
"PRE","PRE0196168-0","Acocks, JPH","Hafstrom, AHF","1840","10/21/1938","Schistostephium crataegifolium (DC.) Fenzl ex Harv.","PIETERSBURG DIST.; HAENERTSBURG","-23.9417972000","29.9470266300","2k","2329DD","True",""
"PRE","PRE0435444-0","Acocks, JPH","","10899","12/18/1944","Desmodium dregeanum Benth.","PORT SHEPSTONE DIST.; PORT SHEPSTONE; NR SOUTH BROOME TURNING NR PORT SHEPSTONE","-30.9030870000","30.3161390000","2k","3030CD","True","Prostrate."
"PRE","PRE0232284-0","Acocks, JPH","","23452","4/23/1964","Euryops nodosus B.Nord.","VICTORIA WEST DIV.; WAGENAARSKRAAL; DOLERITE KOPPIES NW. OF HOUSE","-31.7866430000","22.8152810000","2k","3122DD","True",""
"PRE","PRE0453780-0","Acocks, JPH","","16877","8/1/1953","Pelargonium magenteum J.J.A.van der Walt","CALVINIA DIV.; LOKENBURG; WSW. OF CALVINIA","-31.6951841600","19.1896762400","10k","3119CA","True",""
"PRE","PRE0074998-0","Acocks, JPH","","12079","11/4/1945","Gladiolus wilsonii (Baker) Goldblatt & J.C.Manning","ALEXANDRIA DIV.; BOSCHHOEK. GRASSY SLOPES OF COASTAL DUNES.","-33.6666920000","26.2972430000","5k","3326CB","True",""
"PRE","PRE0193362-0","Acocks, JPH","","18495","6/19/1955","Wahlenbergia oxyphylla A.DC.","CALVINIA DIV.; AKKERENDAM","-31.4179800000","19.7894590000","2k","3119BD","True",""
"PRE","PRE0073095-0","Acocks, JPH","","11602","7/20/1945","Selaginella kraussiana (Kunze) A.Braun","CURRY'S POST; NR. CURRYS POST","-29.3603143300","30.1407235300","2k","2930AC","True",""
"PRE","PRE0443525-0","Acocks, JPH","","14631","7/4/1948","Rhynchosia microscias Benth. ex Harv.","MOSSEL BAY DIV; CLOETES PASS; NW END OF PASS","-33.9109709800","21.7211281200","2k","3321DC","True",""
"PRE","PRE0205563-0","Acocks, JPH","","12744","7/1/1946","Helichrysum argyrolepis MacOwan","MACHADODORP","-25.6639218800","30.2499194000","5k","2530CA","True",""
"PRE","PRE0702480-0","Acocks, JPH","Naude","81","02/1942","Habenaria filicornis Lindl.","WATERBERG DIST.; NOOITGEDACHT 699 FARM.","-24.5324990000","28.5658490000","10k","2428DA","True",""
"PRE","PRE0054957-0","Acocks, JPH","","9373","11/24/1942","Microchloa caffra Nees","STUTTERHEIM DIV.; DOHNE RES. STA.; 11 MI. FROM GRAHAMSTOWN","-32.5283606500","27.4641707900","1000m","3227CB","True",""
"PRE","PRE0214353-0","Acocks, JPH","","17283","9/27/1953","Osteospermum rigidum Aiton var. rigidum","CALVINIA DIV.; LOKENBURG; RIDGES","-31.6951841600","19.1896762400","10k","3119CA","True",""
"PRE","PRE0168944-0","Acocks, JPH","","13031","10/12/1946","Litogyne gariepina (DC.) Anderb.","NGOTSHE DIST.; MAGUT; 2 MI. SW. OF MAGUT ON SLOPES OF MT.","-27.5499600000","31.6311780000","2k","2731DA","True",""
"PRE","PRE0190263-0","Acocks, JPH","","23233","12/20/1962","Prismatocarpus pedunculatus (P.J.Bergius) A.DC.","CALEDON; ONVERWACHT; 19 MI. W. OF RIVIERSONDEREND","-34.1511347000","19.6558057200","2k","3419BA","True",""
"PRE","PRE0186211-0","Acocks, JPH","","348","5/2/1936","Geigeria obtusifolia L.Bolus","BOSHOF DIST.; 18 MI. E. OF KIMBERLEY","-28.7445678600","25.0796107100","50k","2825CA","True",""
"PRE","PRE0344617-0","Acocks, JPH","Hafstrom, AHF","1934","11/6/1938","Strophanthus speciosus (Ward & Harv.) Reber","LUSIKISIKI DIST.; BETWEEN FLAGSTAFF AND LUSIKISIKI","-31.2211897800","29.4529539300","50k","3129AB","True",""
"PRE","PRE0154461-0","Acocks, JPH","","22898","11/7/1966","Corymbium africanum L. subsp. africanum","SWELLENDAM DIV.; BONTEBOK NAT. PARK; TERRACES","-34.0686144900","20.4694679600","5k","3420AB","True",""
"PRE","PRE0152653-0","Acocks, JPH","","14875","9/21/1948","Globulariopsis tephrodes (E.Mey.) Hilliard","VAN RHYNSDORP DIV.; GIFTBERG PASS","-31.7451843100","18.7894921600","2k","3118DB","True",""
"PRE","PRE0325460-0","Acocks, JPH","","17671","4/29/1954","Sebaea pentandra E.Mey. var. pentandra","BEAUFORT WEST DIV.; MATJIESGOED; 6 MI S. S. W. OF MATJIESGOED NIEUWEVELD PLATEAU","-32.1270800000","22.2788680000","2k","3222AB","True","Flowers yellow. Locally frequent."
"PRE","PRE0457714-0","Acocks, JPH","","17782","9/30/1954","Trigonocapnos lichtensteinii (Cham. & Schltdl.) Liden","SUTHERLAND DIV.; KLIPDRIFT. W. Mt k. 2 OF ROGGEVELD SPURS.","-32.5771197300","20.3829497100","2k","3220CB","True",""
"PRE","PRE0110986-0","Acocks, JPH","","18755","2/14/1956","Cyperus cyperoides subsp. pseudoflavus (Kuk.) Lye","Rustenburg Dist; 15 mi. E of Swartruggens.","-25.6268077400","26.9397379600","2k","2526DB","True","Locally common."
"PRE","PRE0142932-0","Acocks, JPH","Hafstrom, AHF","1247","9/15/1938","Zaluzianskya villosa F.W.Schmidt","CAPE PENINSULA; PRINCESS VLEI","-34.0477499600","18.4830925400","1000m","3418AB","True",""
"PRE","PRE0103138-0","Acocks, JPH","","12497","2/22/1946","Cyperus semitrifidus Schrad.","VENTERSBURG; 6 MI. SE. OF VENTERSBURG.","-28.1369390000","27.1918090000","2k","2827AA","True","Frequent."
"PRE","PRE0420618-0","Acocks, JPH","","1786","02/1937","Drosanthemum floribundum (Haw.) Schwantes","CARNARUON DIV.; RHENOSTERKOLK","-30.7113507400","22.1557630600","2k","3022CA","True",""
"PRE","PRE0189558-0","Acocks, JPH","","11202","1/30/1945","Geigeria aspera Harv. var. aspera","FICKSBURG; 4 MI. FROM FICKSBURG ON CLOCOLAN RD.","-28.8888710000","27.8324440000","1000m","2827DD","True",""
"NH","NH0034613-0","Acocks, JPH","","10068","1/29/1944","Helichrysum herbaceum (Andrews) Sweet","Near Champagne Castle Hotel; Estcourt District.","-29.0539246700","29.4156985700","2k","2929AB","True","Disc yellow, inner bracts lemon yellow, outer straw - coloured."
"PRE","PRE0030283-0","Acocks, JPH","","18663","1/24/1956","Trisetopsis imberbis (Nees) Roser, A.Wolk & Veldkamp","WODEHOUSE DIST.; 18 MI. E. OF MOLTENO","-31.3954901100","26.6164670500","2k","3126BC","True",""
"PRE","PRE0139255-0","Acocks, JPH","Hafstrom, AHF","1370","10/4/1938","Lycium cinereum Thunb.","PIETERSBURG; COMMONAGE","-23.9083200000","29.4532330000","10k","2329CD","True",""
"PRE","PRE0353517-0","Acocks, JPH","","21402","8/14/1960","Tylophora cordata (Thunb.) Druce","GEORGE DIV.; HEROLD'S BAY; COASTAL FOR","-34.0497027500","22.3980102500","2k","3422AB","True",""
"PRE","PRE0352741-0","Acocks, JPH","","24017","7/28/1968","Gnidia chrysophylla Meisn.","RIVERSDALE DIV.; 16 M. S. OF RIVERSDALE","-34.3247563500","21.2623421100","2k","3421AD","True","Flowers cream."
"PRE","PRE0287286-0","Acocks, JPH","","10471","5/21/1944","Ochna gamostigmata Du Toit","ESTCOURT DIST.; GRIFFINS HILL","-29.1038325600","29.9668100100","1000m","2929BB","True",""
"PRE","PRE0461496-0","Acocks, JPH","","24395","9/20/1970","Lotononis involucrata (P.J.Bergius) Benth. subsp. involucrata","MALMESBURY DIV.; 10 KM. NW. OF MALMESBURY","-33.3870662900","18.7048287100","2k","3318BC","True",""
"PRE","PRE0407635-0","Acocks, JPH","","10706","10/26/1944","Corrigiola litoralis L. subsp. litoralis var. litoralis","WEENEN DIST.; ESTCOURT; MOORDSPRUIT","-28.8930226700","29.8506539000","2k","2829DD","True",""
"PRE","PRE0345413-0","Acocks, JPH","","21047","2/9/1960","Schizoglossum bidens subsp. atrorubens (Schltr.) Kupicha","ABERDEEN DIV.; PALMIETFONTEIN; PLATEAU OF CAMDEBOO MT.","-32.2813782500","23.9160673700","2k","3223BD","True",""
"PRE","PRE0232133-0","Acocks, JPH","","12505","2/22/1946","Euryops empetrifolius DC.","WINBURG DIST.; 3 MI. SW. OF WINBURG","-28.5469270000","26.9659830000","1000m","2826DB","True",""
"PRE","PRE0425307-0","Acocks, JPH","","16882","8/2/1953","Indigofera gifbergensis C.H.Stirt. & Jarvie","CALVINIA DIST.; LOKENBURG; W.SW. OF CALVINIA","-31.6951841600","19.1896762400","2k","3119CA","True",""
"PRE","PRE0444514-0","Acocks, JPH","","22531","7/29/1962","Cliffortia filifolia L.f.","VERMAAKLIKHEID P. O.; 6.7 MI S E OF VERMAAKLIKHEID P O","-34.3607973400","21.1139071900","2k","3421AC","True",""
"PRE","PRE0289224-0","Acocks, JPH","","15182","10/29/1948","Hermannia pinnata L.","Clanwilliam Div.; Lamberts Bay; Nortier Res.","-32.0818879600","18.3262575500","2k","3218AB","True",""
"PRE","PRE0332596-0","Acocks, JPH","","12098","11/5/1945","Asclepias fulva N.E.Br.","NR COLDSPRING, ALBANY.","-33.3359820000","26.4733730000","2k","3326AD","True",""
"PRE","PRE0171770-0","Acocks, JPH","","17165","9/20/1953","Ifloga thellungiana Hilliard & B.L.Burtt","LAINGSBURG; MATJIESFONTEIN; 3 MI. N. OF MATJIESFONTEIN HILLS","-33.1905600000","20.5794400000","2k","3320BA","True",""
"PRE","PRE0167671-0","Acocks, JPH","","22604","8/24/1962","Nemesia bicornis (L.) Pers.","ARNISTON","-34.6744634000","20.2281586800","2k","3420CA","True",""
"PRE","PRE0165715-0","Acocks, JPH","","8971","7/12/1942","Felicia filifolia (Vent.) Burtt Davy subsp. filifolia","STUTTERHEIM DIV.; KUBUSIE ROAD; NEAR KUBUSIE ROAD ON HILLSIDES","-31.6250000000","27.3750000000","1/4dg","3127CB","",""
"NH","NH0034472-0","Acocks, JPH","","10093","1/30/1944","Pycnostachys reticulata (E.Mey.) Benth.","Near Champagne Castle Hotel.","-29.0539246700","29.4156985700","2k","2929AB","True","2'-3' erect shrublets."
"PRE","PRE0111235-0","Acocks, JPH","","23791","12/8/1965","Cyperus squarrosus L.","ALBANY DIV.; BUCKLANDS.","-33.0978990000","26.7149680000","2k","3326BA","True","Very locally abundant."
"PRE","PRE0195610-0","Acocks, JPH","","8617","4/4/1938","Tarchonanthus littoralis P.P.J.Herman","CAPE PENINSULA; CONSTANTIABERG; LOWER W. SLOPES","-34.0501390000","18.3653060000","2k","3418AB","True",""
"PRE","PRE0374235-0","Acocks, JPH","","21167","7/7/1900","Grubbia rosmarinifolia P.J.Bergius subsp. rosmarinifolia var. rosmarinifolia","HUMANSDORP DIV.; COLDSTREAM P.O.; 1.5 MI. OF COLDSTREAM P.O.","-33.9639130000","23.7160230000","2k","3323DC","True",""
"PRE","PRE0842350-0","Acocks, JPH","","21011","1/25/1960","Miraglossum laeve Kupicha","POTCHEFSTROOM DIST.; PARYS; 8.7 MI. NNE. OF PARYS","-26.7955625000","27.4950937500","2k","2627CD","True",""
"PRE","PRE0217478-0","Acocks, JPH","","10611","9/17/1944","Hilliardiella aristata (DC.) H.Rob.","ESTCOURT DIST.; WILLOWFORD STA.","-28.9782336500","29.8322481800","5k","2829DD","True",""
"PRE","PRE0312552-0","Acocks, JPH","","13015","10/11/1946","Manilkara concolor (Harv.) Gerstner","NONGOMA DIST.; 13.5 MI. N. OF NONGOMA","-27.7460893800","31.7023056500","2k","2731DA","True",""
"PRE","PRE0110029-0","Acocks, JPH","","21999","2/16/1962","Gladiolus oppositiflorus Herb.","MOUNT CURRIE DIST.; 3 MI. W. OF KOKSTAD.","-30.5500200000","29.3590110000","2k","3029CB","True","Rare. Flowers salmon pink."
"PRE","PRE0398344-0","Acocks, JPH","","2596","12/4/1937","Trichodiadema pomeridianum L.Bolus","HERBERT DIST.; VALSCHFONTEIN","-29.0763652300","24.4646910200","2k","2924AB","True",""
"PRE","PRE0181954-0","Acocks, JPH","","16040","9/3/1951","Athrixia heterophylla subsp. sessilifolia (DC.) Kroner","UNIONDALE DIV.; TOP OF PRINCE ALFRED'S PASS","-33.7550880000","23.1610660000","2k","3323CC","True",""
"PRE","PRE0392443-0","Acocks, JPH","","17721","9/25/1954","Crassula natans Thunb. var. natans","CALVINIA DIV.; LOKENBURG","-31.6951841600","19.1896762400","2k","3119CA","True",""
